name,category,size,tier,rarity,cost,station,modifiers,damage,features
Aurovela,propulsion,2,1,common,50,helm,"[{""attribute"":""maneuver"",""value"":1}]",,
Termovela,propulsion,2,1,uncommon,80,helm,"[{""attribute"":""impulse"",""value"":1,""condition"":""em condições de vento/calor""}]",,
Motor de Cristal Arcano,propulsion,1,2,uncommon,120,helm,"[{""attribute"":""impulse"",""value"":1}]",,"[{""name"":""Consumo Arcano"",""description"":""Gasta 1 Suprimento por missão longa"",""cost"":{""supply"":1}}]"
Vela Sombria,propulsion,1,2,rare,150,helm,"[{""attribute"":""maneuver"",""value"":1,""condition"":""em furtividade""},{""attribute"":""impulse"",""value"":-1,""condition"":""quando ativa""}]",,
Balestra Lumini,weapon,2,1,common,60,gunner,,"[{""amount"":""d8+2"",""type"":""magic"",""range"":""far""}]",
Canhão Estrilante,weapon,2,2,uncommon,100,gunner,,"[{""amount"":""d10"",""type"":""physic"",""range"":""close""}]","[{""name"":""Recuo Violento"",""description"":""Aplica 1 Stress na nave ao disparar"",""cost"":{""stress"":1}}]"
Lança-Chamas Étereo,weapon,2,2,rare,140,gunner,,"[{""amount"":""d6"",""type"":""magic"",""range"":""very close""}]","[{""name"":""Dano Contínuo"",""description"":""d6 por rodada em alvos em Very Close""}]"
Membrana de Primórdia,arcane,2,2,rare,160,navigation,"[{""attribute"":""flux"",""value"":1}]",,"[{""name"":""Absorção Primordial"",""description"":""Pode absorver 1 dano Severe uma vez por cena""}]"
Escudo de Névoa,shield,1,1,uncommon,90,navigation,"[{""attribute"":""evasion"",""value"":2,""condition"":""até próximo turno""}]",,"[{""name"":""Cortina de Névoa"",""description"":""Ação: +2 Evasion até próximo turno"",""cost"":{""supply"":1}}]"
Âncora de Vórtice,arcane,2,3,rare,200,navigation,,,"[{""name"":""Imobilização"",""description"":""Imobiliza nave inimiga por 1 rodada. Difficulty 15, Flux vs Flux""}]"
Placa Runavestimento,structural,2,1,common,40,any,"[{""attribute"":""hp"",""value"":10}]",,
Sensor Auroespectral,sensor,1,1,uncommon,70,navigation,"[{""attribute"":""sensor"",""value"":1}]",,"[{""name"":""Detecção Arcana"",""description"":""Detecta magia e naves ocultas""}]"
Câmara de Estabilização,support,1,1,common,55,any,,,"[{""name"":""Estabilização"",""description"":""Reduz degradação de Tripulação em 1 nível após combate""}]"
Compartimento de Carga Reforçado,support,2,1,common,35,any,"[{""attribute"":""supply"",""value"":4}]",,
